CorrelationType,Size,Algorithm,Mean,Best,Solution std,Coef. Var. Sol.,Mean Time,Time std,Coef. Var. Time,Relative_Improvement_vs_CG,Relative_Improvement_vs_MA
correlated_sc1,300,CG,696.9,,,,0.01,,,0.0,9.340444906985828
correlated_sc1,300,GRASP,699.53,731.0,15.85198812888123,2.2660912511087776,0.016882,0.006165178271191993,36.51924103300552,-0.3773855646434202,8.998308833094844
correlated_sc1,300,ILS-10,710.825,748.0,15.562303862459954,2.1893298438377875,0.004543500000000002,0.0015919577246223987,35.03813634031909,-1.9981345960683123,7.5289449720307005
correlated_sc1,300,ILS-100,698.5,734.0,16.103933787031266,2.305502331715285,0.006966000000000001,0.0029295143405275873,42.05446943048503,-0.22958817620892852,9.132301287888648
correlated_sc1,300,ILS-2,691.595,745.0,22.4519805843672,3.2464058566599236,0.0018540000000000004,0.0005945176669211833,32.0667565761156,0.7612282967427106,10.030571094054899
correlated_sc1,300,ILS-300,704.195,751.0,16.129718350620735,2.290518727145284,0.0068695000000000015,0.0025994239311565455,37.8400746947601,-1.046778590902579,8.391440093664627
correlated_sc1,300,ILS-50,697.84,751.0,16.204236681564492,2.322056156363134,0.0068835000000000025,0.002681703829123507,38.95843435931584,-0.1348830535227514,9.21816053076623
correlated_sc1,300,MA,768.7,,,,2.59,,,-10.30276940737553,0.0
correlated_sc1,300,REACT_GRASP,682.29,715.0,11.285063726739953,1.6539981132275066,0.012202499999999998,0.0043529166274842825,35.67233458294844,2.0964270340077507,11.241056328866927
correlated_sc1,300,SA,654.67,715.0,20.964461433962004,3.202294504706494,0.005947500000000003,0.0005194641131244013,8.734159110960924,6.059692925814323,14.834135553531947
correlated_sc1,300,TabuSearch,656.445,718.0,32.487291291786526,4.948973835094566,0.0037340000000000055,0.0004303136637921589,11.524200958547356,5.804993542832534,14.603226226096005
correlated_sc1,500,CG,621.3,,,,0.01,,,0.0,26.22892424602233
correlated_sc1,500,GRASP,679.2111111111111,795.0,33.56208103909435,4.941332744717714,0.036573888888888885,0.013931766538033392,38.09211150708628,-9.320957848239361,19.352753370801345
correlated_sc1,500,ILS-10,768.9666666666667,881.0,39.83988905326587,5.1809643746932075,0.011384999999999996,0.0036575394696526575,32.12595054591708,-23.767369494071584,8.695480091823004
correlated_sc1,500,ILS-100,764.7222222222222,854.0,42.450109468843806,5.551049549140491,0.020528333333333346,0.007974108065567007,38.84440074157832,-23.08421410304559,9.199451172854175
correlated_sc1,500,ILS-2,676.4166666666666,844.0,59.236376695594274,8.757379824407186,0.004285555555555556,0.0014547599476464241,33.945656024936,-8.87118407639895,19.68455632074726
correlated_sc1,500,ILS-300,764.9166666666666,846.0,39.72628065024053,5.193543608267637,0.019407222222222215,0.0074203632743637124,38.23506109940368,-23.11551048876013,9.176363492440442
correlated_sc1,500,ILS-50,770.6055555555556,862.0,37.492270670430585,4.865299815208461,0.020700000000000014,0.008075488812020772,39.012023246477135,-24.031153316522722,8.500883928335838
correlated_sc1,500,MA,842.2,,,,18.96,,,-35.55448253661679,0.0
correlated_sc1,500,REACT_GRASP,699.2777777777778,802.0,32.889361774579434,4.7033328985654235,0.02859833333333333,0.008838731897973023,30.90645806156428,-12.550744853980023,16.970104752104277
correlated_sc1,500,SA,637.7,758.0,50.10000055754409,7.85635887682987,0.016788333333333325,0.00033078119825243605,1.97030397052975,-2.639626589409318,24.281643315127045
correlated_sc1,500,TabuSearch,571.6722222222222,718.0,53.22155972550173,9.309803355254381,0.01507333333333333,0.0017518258631349759,11.622020321550043,7.987731816799894,32.12155993561836
correlated_sc1,700,CG,511.2,,,,0.01,,,0.0,29.7319587628866
correlated_sc1,700,GRASP,590.01,659.0,26.34979046000996,4.4659904849087235,0.05698299999999998,0.021248217448144164,37.288695660362166,-15.416666666666668,18.89896907216495
correlated_sc1,700,ILS-10,663.49,758.0,32.306476784246456,4.869173127589935,0.016350999999999987,0.0051979701295156245,31.78992189783884,-29.790688575899846,8.798625429553264
correlated_sc1,700,ILS-100,662.865,763.0,36.53726362449478,5.512021848263942,0.029387000000000007,0.010551754766066925,35.90619922437446,-29.66842723004695,8.884536082474225
correlated_sc1,700,ILS-2,572.21,686.0,51.1427787580561,8.937763890539504,0.0062275,0.002065605815961669,33.16910182194571,-11.934663536776222,21.345704467353947
correlated_sc1,700,ILS-300,654.46,735.0,35.80837329438395,5.471438024384065,0.027566500000000004,0.010905714133139965,39.56147546166529,-28.024256651017225,10.039862542955321
correlated_sc1,700,ILS-50,659.055,736.0,32.921132725036934,4.9952026348388125,0.028105000000000012,0.010547203063481407,37.52785292112223,-28.923122065727693,9.40824742268042
correlated_sc1,700,MA,727.5,,,,43.53,,,-42.31220657276995,0.0
correlated_sc1,700,REACT_GRASP,599.2,685.0,29.138035720139793,4.862823050757642,0.04782850000000003,0.018065376466722804,37.771154158551475,-17.21439749608765,17.635738831615114
correlated_sc1,700,SA,526.4,640.0,47.60230981262874,9.042991985681752,0.023830499999999987,0.000497652529583648,2.0883008312190188,-2.973395931142408,27.642611683848802
correlated_sc1,700,TabuSearch,490.475,612.0,55.277185267117865,11.270133088764537,0.02872549999999999,0.003763311349271781,13.100942887928085,4.0541862284819965,32.5807560137457
correlated_sc1,800,CG,475.7,,,,0.01,,,0.0,28.712722913232426
correlated_sc1,800,GRASP,541.645,644.0,33.07140098051597,6.105733641133209,0.060708500000000054,0.02134253491817849,35.15576059065612,-13.862728610468782,18.83036115690094
