Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,3,662.000000,0.0088,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,3,692.000000,0.0133,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,3,683.000000,0.0077,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,4,666.000000,0.0014,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,4,699.000000,0.0086,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,4,704.000000,0.0080,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,4,702.000000,0.0108,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,4,674.000000,0.0083,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,5,676.000000,0.0023,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,5,674.000000,0.0026,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,5,720.000000,0.0114,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,5,704.000000,0.0106,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,5,682.000000,0.0084,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,6,679.000000,0.0012,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,6,685.000000,0.0032,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,6,722.000000,0.0190,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,6,717.000000,0.0271,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,6,702.000000,0.0077,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,7,692.000000,0.0019,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,7,692.000000,0.0029,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,7,706.000000,0.0164,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,7,678.000000,0.0106,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,7,706.000000,0.0131,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,8,692.000000,0.0019,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,8,711.000000,0.0053,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,8,682.000000,0.0067,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,8,676.000000,0.0069,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,8,671.000000,0.0086,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,9,673.000000,0.0016,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,9,720.000000,0.0059,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,9,727.000000,0.0148,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,9,678.000000,0.0082,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,9,663.000000,0.0057,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-2,10,634.000000,0.0008,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-10,10,694.000000,0.0081,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-50,10,643.000000,0.0048,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-100,10,651.000000,0.0069,
scenario1,correlated_sc1,300,kpfs_2.txt,ILS-300,10,667.000000,0.0122,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-2,1,702.000000,0.0019,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-10,1,713.000000,0.0045,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-50,1,699.000000,0.0072,
scenario1,correlated_sc1,300,kpfs_3.txt,ILS-100,1,717.000000,0.0241,
