Scenario,CorrelationType,Size,InstanceFile,Algorithm,Run,ObjectiveValue,ExecutionTime,Error
scenario1,correlated_sc1,300,kpfs_4.txt,REACT_GRASP,14,686.000000,0.0230,
scenario1,correlated_sc1,300,kpfs_4.txt,REACT_GRASP,15,663.000000,0.0234,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,1,682.000000,0.0336,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,2,665.000000,0.0159,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,3,673.000000,0.0270,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,4,650.000000,0.0285,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,5,677.000000,0.0211,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,6,676.000000,0.0183,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,7,682.000000,0.0343,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,8,671.000000,0.0264,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,9,652.000000,0.0172,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,10,679.000000,0.0294,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,11,655.000000,0.0300,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,12,665.000000,0.0371,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,13,666.000000,0.0375,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,14,675.000000,0.0295,
scenario1,correlated_sc1,300,kpfs_5.txt,REACT_GRASP,15,678.000000,0.0185,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,1,679.000000,0.0198,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,2,642.000000,0.0131,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,3,671.000000,0.0196,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,4,684.000000,0.0211,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,5,658.000000,0.0202,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,6,685.000000,0.0274,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,7,680.000000,0.0152,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,8,658.000000,0.0145,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,9,675.000000,0.0173,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,10,685.000000,0.0400,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,11,649.000000,0.0154,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,12,633.000000,0.0130,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,13,662.000000,0.0183,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,14,652.000000,0.0236,
scenario1,correlated_sc1,300,kpfs_6.txt,REACT_GRASP,15,664.000000,0.0217,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,1,665.000000,0.0169,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,2,658.000000,0.0387,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,3,665.000000,0.0187,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,4,650.000000,0.0264,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,5,665.000000,0.0268,
scenario1,correlated_sc1,300,kpfs_7.txt,REACT_GRASP,6,647.000000,0.0150,
